Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
26,Female,Black or African American,92501,2,Living alone,1,0.3,34,Master's or post-graduate professional degree,A few times a month,Less often,Less often,Less often,0,0,0,0,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree
26,Female,Hispanic,91606,15,With other family,1,0.2,44,Some college/associate's degree,A few times a month,At least once a week,Less often,A few times a month,8,5,0,2,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
26,Male,White (non-hispanic),2149,4,With other family,2,2,99,Four-year college,At least once a week,At least once a week,At least once a week,A few times a month,2,5,2,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
26,Female,White (non-hispanic),27288,26,With other family,1,0.2,54,High school,About once a month,Less often,Less often,Less often,2,0,0,0,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree
26,Female,White (non-hispanic),42501,4,"With spouse, significant other, and/or children",3,0,30,High school,Less often,About once a month,Less often,Less often,0,2,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
26,Male,Hispanic,98902,16,With other family,2,0,79,Four-year college,Less often,Less often,Less often,About once a month,20,2,2,6,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
25,Female,"White (non-hispanic),Black or African American",7030,5,With roommates,3,0.5,100,Four-year college,Less often,At least once a week,About once a month,A few times a month,0,5,2,0,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
25,Female,Black or African American,77583,15,With other family,1,0.3,15,Four-year college,Less often,About once a month,Less often,Less often,0,2,0,1,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
25,Male,White (non-hispanic),35768,0,"With spouse, significant other, and/or children",1,0,0,Some college/associate's degree,Daily,Daily,At least once a week,Daily,2,2,2,2,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree
25,Female,Black or African American,90806,3,With roommates,2,0,50,Some college/associate's degree,Less often,At least once a week,A few times a month,A few times a month,4,10,4,3,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
25,Female,White (non-hispanic),33990,2,"With spouse, significant other, and/or children",1,0.2,93,Master's or post-graduate professional degree,A few times a month,At least once a week,About once a month,At least once a week,1,2,1,5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25,Female,Asian,7666,15,Living alone,1,,21,Four-year college,Less often,At least once a week,Less often,At least once a week,5,3,0,0,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
25,Male,White (non-hispanic),14616,5,"With spouse, significant other, and/or children",1,0.2,54,Master's or post-graduate professional degree,A few times a month,About once a month,Less often,Daily,0,1,0,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
25,Female,Black or African American,48825,2,Living alone,5+,0.4,10,Master's or post-graduate professional degree,A few times a month,A few times a month,A few times a month,A few times a month,0,0,0,10,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
25,Male,White (non-hispanic),60647,3,Living alone,2,0,35,Four-year college,Less often,At least once a week,Less often,About once a month,0,3,0,2,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
25,Female,Black or African American,29341,3,With other family,1,0.5,12,Some college/associate's degree,Daily,Less often,Less often,Less often,2,0,0,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
25,Male,Black or African American,94720,25,Living alone,5+,1,36,High school,Less often,At least once a week,About once a month,Daily,0,3,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
25,Female,White (non-hispanic),11433,25,"With spouse, significant other, and/or children",1,2.8,87,Master's or post-graduate professional degree,At least once a week,Daily,Daily,At least once a week,4,2,3,1,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
25,Female,Hispanic,72903,19,With other family,1,0.1,66,Some college/associate's degree,At least once a week,Daily,A few times a month,Daily,2,3,2,6,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25,Female,Hispanic,93306,1,"With spouse, significant other, and/or children",1,1.5,401,Some college/associate's degree,A few times a month,A few times a month,A few times a month,A few times a month,5,3,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
25,Female,White (non-hispanic),15601,3,Living alone,1,1.3,11,Four-year college,Less often,At least once a week,Less often,Less often,0,2,0,0,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree
25,Female,White (non-hispanic),85302,2,"With spouse, significant other, and/or children",5+,0,34,Some college/associate's degree,Less often,At least once a week,Less often,Daily,0,1,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
25,Female,White (non-hispanic),28645,1,"With spouse, significant other, and/or children",5+,0,500,Some college/associate's degree,Daily,Less often,At least once a week,Less often,1,0,1,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree
24,Female,Black or African American,43017,23,Living alone,1,0,88,Four-year college,A few times a month,At least once a week,Less often,Less often,3,5,1000,10,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree
24,Male,Black or African American,20001,24,"With spouse, significant other, and/or children",1,0.5,62,Four-year college,At least once a week,At least once a week,At least once a week,At least once a week,2,3,5,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
24,Male,White (non-hispanic),90011,24,Living alone,5+,0.3,79,Four-year college,A few times a month,At least once a week,At least once a week,Daily,3,5,2,4,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
24,Male,"White (non-hispanic),Black or African American",44883,6,"With spouse, significant other, and/or children",1,0.3,37,High school,A few times a month,About once a month,About once a month,At least once a week,2,4,3,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
24,Female,"Asian,American Indian or Alaska Native",6340,5,"With spouse, significant other, and/or children",3,1,110,Four-year college,A few times a month,Less often,About once a month,Less often,5,2,1,5,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
24,Male,White (non-hispanic),81506,2,With roommates,1,0.2,25,Four-year college,About once a month,A few times a month,Less often,Less often,2,25 plus,3,1,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
24,Female,Black or African American,39759,24,Living alone,1,0.2,23,Four-year college,Less often,A few times a month,About once a month,At least once a week,1,4,2,3,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree
24,Female,White (non-hispanic),50535,3,"With spouse, significant other, and/or children",1,0.5,90,Master's or post-graduate professional degree,About once a month,A few times a month,Less often,Daily,0,0,3,0,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
24,Female,Hispanic,78045,10,With other family,1,0,50,Four-year college,Less often,Less often,Less often,Less often,4,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
24,Male,"White (non-hispanic),Hispanic,American Indian or Alaska Native",78209,1,Living alone,4,0,30,Four-year college,At least once a week,At least once a week,Less often,Less often,3,5,1,0,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
24,Female,White (non-hispanic),23228,15,With roommates,1,,3,Four-year college,Less often,Daily,A few times a month,Less often,0,3,1,0,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
24,Male,"White (non-hispanic),Hispanic",32304,2,With roommates,5+,0,20,Four-year college,Less often,A few times a month,A few times a month,At least once a week,0,0,0,0,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
24,Male,White (non-hispanic),18011,8,With other family,1,0.5,28,Four-year college,Less often,Less often,A few times a month,Daily,0,0,0,2,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree
24,Male,Hispanic,92701,24,With other family,1,0.5,62,Four-year college,Less often,A few times a month,A few times a month,Daily,0,2,6,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
24,Female,Asian,64106,6,With other family,2,0.1,58,Master's or post-graduate professional degree,About once a month,A few times a month,Less often,Less often,0,10,0,0,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
24,Male,Other,2115,7,With roommates,5+,1,47,Four-year college,A few times a month,At least once a week,Less often,A few times a month,0,2,0,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
24,Female,White (non-hispanic),52402,7,"With spouse, significant other, and/or children",1,0.2,115,Some college/associate's degree,Daily,Daily,At least once a week,Daily,4,5,5,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
24,Male,White (non-hispanic),32825,4,Living alone,1,0.1,85,Four-year college,Less often,Less often,Less often,Daily,0,0,0,5,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
24,Female,Hispanic,91325,14,With other family,5+,0.5,68,Four-year college,Daily,At least once a week,Less often,Less often,5,2,0,0,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
24,Male,White (non-hispanic),85260,3,"With spouse, significant other, and/or children",5+,1,40,High school,At least once a week,At least once a week,Less often,Less often,1,2,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
24,Female,White (non-hispanic),27612,13,With roommates,3,1.6,46,Four-year college,About once a month,About once a month,About once a month,About once a month,2,5,50,2,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
24,Male,Asian,60085,24,With other family,1,1,120,Master's or post-graduate professional degree,About once a month,About once a month,Less often,About once a month,5,3,0,0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
24,Female,White (non-hispanic),34957,1,"With spouse, significant other, and/or children",1,0,31,Some college/associate's degree,Less often,About once a month,About once a month,Less often,0,2,1,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
24,Female,White (non-hispanic),59802,2,"With spouse, significant other, and/or children",5+,0.2,70,Master's or post-graduate professional degree,Less often,A few times a month,About once a month,A few times a month,0,5,2,4,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
24,Female,White (non-hispanic),60637,3,Living alone,5+,0.1,54,Four-year college,Less often,At least once a week,At least once a week,At least once a week,0,5,0,0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
24,Female,White (non-hispanic),27410,3,"With spouse, significant other, and/or children",1,0.4,60,Four-year college,At least once a week,At least once a week,Less often,Less often,2,2,5,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
